Rk,Player,Age,Tm,Pos,GP▼,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
1,Marcus Pettersson\pettema01,22,TOT,D,84,7,0.02,0.27,0.30,0.09,0.79,1.04,2,23,25,7,65,8,50,10,17,55.2,49.7,5.5,1.0,3.9,5.0,0,,,
2,Kevin Fiala\fialake01,22,TOT,LW,83,14,0.16,0.31,0.47,0.17,0.43,2.10,13,26,39,14,53,15,61,0,-23,50.5,53.6,-3.2,1.7,0.7,2.4,0,,,
3,Ryan Hartman\hartmry01,24,TOT,RW,83,10,0.14,0.17,0.31,0.13,0.89,1.75,12,14,26,10,50,1,53,5,1,42.3,50.0,-7.7,0.8,1.2,2.1,0,,,
4,Nikita Kucherov\kucheni01,25,TBL,RW,82,45,0.50,1.06,1.56,0.55,0.76,3.00,41,87,128,46,155,60,71,1,24,71.5,62.9,8.6,12.3,2.3,14.6,7,4,3,57.1
5,Leon Draisaitl\draisle01,23,EDM,C,82,42,0.61,0.67,1.28,0.51,0.63,2.82,51,55,106,43,141,44,109,14,2,69.1,71.0,-1.8,10.4,2.2,12.6,4,1,3,25.0
6,Brent Burns\burnsbr01,33,SJS,D/RW,82,26,0.20,0.82,1.01,0.32,0.41,3.66,16,67,83,27,142,39,106,16,13,80.6,71.2,9.3,7.3,4.7,12.0,0,,,
7,Nathan MacKinnon\mackina01,23,COL,C,82,38,0.50,0.71,1.21,0.47,0.41,4.45,41,58,99,38,141,51,73,2,20,77.9,67.4,10.5,9.1,2.7,11.8,4,1,3,25.0
8,Morgan Rielly\riellmo01,24,TOR,D,82,25,0.24,0.63,0.88,0.31,0.17,2.72,20,52,72,25,149,33,100,8,24,90.8,83.0,7.8,7.0,4.7,11.7,0,,,
9,Steven Stamkos\stamkst01,28,TBL,C,82,39,0.55,0.65,1.20,0.47,0.45,2.85,46,53,99,40,132,61,68,2,4,53.0,51.7,1.3,10.1,1.4,11.5,3,2,1,66.7
10,John Tavares\tavarjo01,28,TOR,C,82,37,0.57,0.50,1.07,0.45,0.41,3.49,48,41,89,37,133,34,84,4,19,81.8,66.2,15.6,9.3,2.0,11.3,2,0,2,0.0
11,Johnny Gaudreau\gaudrjo01,25,CGY,LW,82,36,0.44,0.77,1.21,0.44,0.29,2.99,36,63,99,37,130,42,72,1,18,71.4,57.5,13.9,8.8,2.1,10.9,2,0,2,0.0
