,Player,cluster_name
0,Nikita Kucherov,Elite Offensive Players (Don't Take FO)
1,Connor McDavid,Elite Offensive Players (Take FO)
2,Patrick Kane,Elite Offensive Players (Don't Take FO)
3,Leon Draisaitl,Elite Offensive Players (Take FO)
4,Sidney Crosby,Elite Offensive Players (Take FO)
5,Brad Marchand,Elite Offensive Players (Don't Take FO)
6,Nathan MacKinnon,Elite Offensive Players (Take FO)
7,Johnny Gaudreau,Elite Offensive Players (Don't Take FO)
8,Steven Stamkos,Elite Offensive Players (Take FO)
9,Aleksander Barkov,Elite Offensive Players (Take FO)
10,Mitch Marner,Elite Offensive Players (Don't Take FO)
11,Brayden Point,Elite Offensive Players (Take FO)
12,Jonathan Huberdeau,Elite Offensive Players (Don't Take FO)
13,Blake Wheeler,Power-Play Specialists
14,Alex Ovechkin,Elite Offensive Players (Don't Take FO)
15,John Tavares,Elite Offensive Players (Take FO)
16,Artemi Panarin,Elite Offensive Players (Don't Take FO)
17,Mikko Rantanen,Elite Offensive Players (Don't Take FO)
18,Claude Giroux,Well-Rounded Elite Playmakers (Take FO)
19,Mark Scheifele,Elite Offensive Players (Take FO)
20,Sebastian Aho,Elite Offensive Players (Take FO)
21,Brent Burns,Elite Offensive Defensemen
22,Sean Monahan,Elite Offensive Players (Take FO)
23,Jack Eichel,Elite Offensive Players (Take FO)
24,Phil Kessel,Elite Offensive Players (Don't Take FO)
25,David Pastrnak,Elite Offensive Players (Don't Take FO)
26,Jonathan Toews,Elite Offensive Players (Take FO)
27,Tyler Seguin,Elite Offensive Players (Take FO)
28,Patrice Bergeron,Elite Offensive Players (Take FO)
29,Elias Lindholm,Elite Offensive Players (Take FO)
30,Ryan O'Reilly,Elite Offensive Players (Take FO)
31,Matthew Tkachuk,Elite Offensive Players (Don't Take FO)
32,Teuvo Teravainen,Elite Offensive Players (Don't Take FO)
33,Jake Guentzel,Goal Scorers Who Take Penalties
34,Sean Couturier,Elite Offensive Players (Take FO)
35,Alex DeBrincat,Elite Offensive Players (Don't Take FO)
36,Gabriel Landeskog,Elite Offensive Players (Take FO)
37,Mark Giordano,Elite Offensive Defensemen
38,Tomas Hertl,Elite Offensive Players (Take FO)
39,Nicklas Backstrom,Well-Rounded Elite Playmakers (Take FO)
40,Mika Zibanejad,Elite Offensive Players (Take FO)
41,Mark Stone,Elite Offensive Players (Don't Take FO)
42,David Krejci,Well-Rounded Elite Playmakers (Take FO)
43,Dylan Larkin,Elite Offensive Players (Take FO)
44,Auston Matthews,Elite Offensive Players (Take FO)
45,Morgan Rielly,Elite Offensive Defensemen
46,Alexander Radulov,Elite Offensive Players (Don't Take FO)
47,Max Domi,Elite Offensive Players (Take FO)
48,Evgeny Kuznetsov,Well-Rounded Elite Playmakers (Take FO)
49,Evgeni Malkin,Well-Rounded Elite Playmakers (Take FO)
50,John Carlson,Elite Offensive Defensemen
51,Matt Duchene,Elite Offensive Players (Take FO)
52,Logan Couture,Elite Offensive Players (Take FO)
53,Evgenii Dadonov,Elite Offensive Players (Don't Take FO)
54,Mike Hoffman,Elite Offensive Players (Don't Take FO)
55,Cam Atkinson,Elite Offensive Players (Don't Take FO)
56,Ryan Nugent-Hopkins,Every Situation Forwards
57,Vladimir Tarasenko,Elite Offensive Players (Don't Take FO)
58,Timo Meier,Goal Scorers Who Take Penalties
59,Elias Pettersson,Elite Offensive Players (Take FO)
60,Kyle Connor,Power-Play Specialists
61,Jakub Voracek,Power-Play Specialists
62,Sam Reinhart,Power-Play Specialists
63,Ryan Johansen,Well-Rounded Elite Playmakers (Take FO)
64,Joe Pavelski,Elite Offensive Players (Take FO)
65,Jeff Skinner,Elite Offensive Players (Don't Take FO)
66,Mathew Barzal,Well-Rounded Elite Playmakers (Take FO)
67,Keith Yandle,Elite Offensive Defensemen
68,Pierre-Luc Dubois,Well-Rounded Elite Playmakers (Take FO)
69,Zach Parise,Power-Play Specialists
70,Bo Horvat,Elite Offensive Players (Take FO)
71,Gustav Nyquist,Goal Scorers Who Take Penalties
72,Erik Gustafsson,Elite Offensive Defensemen
73,Anze Kopitar,"Two-Way, FO-Taking Forwards"
74,Jonathan Marchessault,Goal Scorers Who Take Penalties
75,Tyson Barrie,Elite Offensive Defensemen
76,Tomas Tatar,Goal Scorers Who Take Penalties
77,Dylan Strome,Well-Rounded Elite Playmakers (Take FO)
78,Kris Letang,Elite Offensive Defensemen
79,Roman Josi,Elite Offensive Defensemen
80,Josh Bailey,Power-Play Specialists
81,William Karlsson,Well-Rounded Elite Playmakers (Take FO)
82,Kevin Labanc,Elite Offensive Players (Don't Take FO)
83,Brock Boeser,Power-Play Specialists
84,Evander Kane,Goal Scorers Who Take Penalties
85,Ryan Dzingel,Power-Play Specialists
86,Kevin Hayes,Well-Rounded Elite Playmakers (Take FO)
87,Thomas Chabot,Elite Offensive Defensemen
88,Victor Hedman,Elite Offensive Defensemen
89,T.J. Oshie,Power-Play Specialists
90,Brayden Schenn,Well-Rounded Elite Playmakers (Take FO)
91,Mikael Granlund,Power-Play Specialists
92,Andreas Athanasiou,Power-Play Specialists
93,Brock Nelson,Every Situation Forwards
94,Phillip Danault,"Two-Way, FO-Taking Forwards"
95,Jamie Benn,Goal Scorers Who Take Penalties
96,Reilly Smith,Power-Play Specialists
97,Torey Krug,Elite Offensive Defensemen
98,Nino Niederreiter,Goal Scorers Who Take Penalties
99,Justin Williams,Goal Scorers Who Take Penalties
100,Jonathan Drouin,Power-Play Specialists
101,Alex Tuch,Goal Scorers Who Take Penalties
102,Brendan Gallagher,Goal Scorers Who Take Penalties
103,Chris Kreider,Goal Scorers Who Take Penalties
104,Eric Staal,Well-Rounded Elite Playmakers (Take FO)
105,Anders Lee,Power-Play Specialists
106,Joe Thornton,Well-Rounded Elite Playmakers (Take FO)
107,Dustin Brown,Power-Play Specialists
108,Filip Forsberg,Elite Offensive Players (Don't Take FO)
109,Jacob Trouba,Every Situation Defensemen
110,Kyle Palmieri,Power-Play Specialists
111,Patrik Laine,Power-Play Specialists
112,Travis Konecny,Goal Scorers Who Take Penalties
113,Carl Soderberg,"Two-Way, FO-Taking Forwards"
114,Viktor Arvidsson,Goal Scorers Who Take Penalties
115,Yanni Gourde,Goal Scorers Who Take Penalties
116,Anthony Mantha,Goal Scorers Who Take Penalties
117,James van Riemsdyk,Power-Play Specialists
118,Ryan Getzlaf,Well-Rounded Elite Playmakers (Take FO)
119,Chris Tierney,"Two-Way, FO-Taking Forwards"
120,Mikael Backlund,Well-Rounded Elite Playmakers (Take FO)
121,Josh Anderson,Goal Scorers Who Take Penalties
122,Jakub Vrana,Goal Scorers Who Take Penalties
123,Andrew Shaw,Goal Scorers Who Take Penalties
124,Tyler Johnson,Goal Scorers Who Take Penalties
125,Tyler Bertuzzi,Goal Scorers Who Take Penalties
126,J.T. Miller,Well-Rounded Elite Playmakers (Take FO)
127,Nico Hischier,Well-Rounded Elite Playmakers (Take FO)
128,Ryan Suter,Strong Defensive Defensemen
129,Brandon Saad,Goal Scorers Who Take Penalties
130,Clayton Keller,Power-Play Specialists
131,Ryan McDonagh,Every Situation Defensemen
132,Brett Connolly,Goal Scorers Who Take Penalties
133,David Perron,Power-Play Specialists
134,Seth Jones,Elite Offensive Defensemen
135,Jeff Petry,Elite Offensive Defensemen
136,Travis Zajac,"Two-Way, FO-Taking Forwards"
137,Erik Karlsson,Elite Offensive Defensemen
138,John Klingberg,Elite Offensive Defensemen
139,Brady Tkachuk,Goal Scorers Who Take Penalties
140,Drew Doughty,Every Situation Defensemen
141,Mattias Ekholm,Elite Offensive Defensemen
142,Kasperi Kapanen,Goal Scorers Who Take Penalties
143,Nazem Kadri,Well-Rounded Elite Playmakers (Take FO)
144,Zach Werenski,Elite Offensive Defensemen
145,Rasmus Dahlin,Elite Offensive Defensemen
146,Oliver Ekman-Larsson,Elite Offensive Defensemen
147,Andreas Johnsson,Goal Scorers Who Take Penalties
148,Jared Spurgeon,Strong Defensive Defensemen
149,Jakob Silfverberg,Power-Play Specialists
150,Rickard Rakell,Power-Play Specialists
151,Rasmus Ristolainen,Every Situation Defensemen
152,Paul Stastny,Well-Rounded Elite Playmakers (Take FO)
153,Jake Debrusk,Goal Scorers Who Take Penalties
154,Adam Henrique,Every Situation Forwards
155,Alexander Kerfoot,Well-Rounded Elite Playmakers (Take FO)
156,Jason Zucker,Goal Scorers Who Take Penalties
157,Bobby Ryan,Power-Play Specialists
158,Ryan Ellis,Every Situation Defensemen
159,Cody Eakin,Every Situation Forwards
160,Zach Hyman,Goal Scorers Who Take Penalties
161,Alex Pietrangelo,Elite Offensive Defensemen
162,Darnell Nurse,Every Situation Defensemen
163,Bryan Little,Every Situation Forwards
164,Alex Galchenyuk,Power-Play Specialists
165,Colin White,Every Situation Forwards
166,Alex Killorn,Goal Scorers Who Take Penalties
167,Micheal Ferland,Goal Scorers Who Take Penalties
168,Duncan Keith,Every Situation Defensemen
169,Tom Wilson,Goal Scorers Who Take Penalties
170,Mats Zuccarello,Lower-Line Skill Players
171,Max Pacioretty,Goal Scorers Who Take Penalties
172,Anthony Cirelli,"Two-Way, FO-Taking Forwards"
173,Dougie Hamilton,Goal Scorers Who Take Penalties
174,Vinnie Hinostroza,Goal-Focused Lower-Line Players
175,Frank Vatrano,Goal-Focused Lower-Line Players
176,Kevin Fiala,Power-Play Specialists
177,Damon Severson,Every Situation Defensemen
178,Derek Ryan,"Two-Way, FO-Taking Forwards"
179,Craig Smith,Goal Scorers Who Take Penalties
180,Boone Jenner,"Two-Way, FO-Taking Forwards"
181,Alex Chiasson,Power-Play Specialists
182,Tyler Bozak,"Two-Way, FO-Taking Forwards"
183,Pavel Buchnevich,Power-Play Specialists
184,Jake Muzzin,Even Strength two-way defensemen
185,Ryan Pulock,Every Situation Defensemen
186,Joonas Donskoi,Goal-Focused Lower-Line Players
187,Dominik Kahun,Goal-Focused Lower-Line Players
188,Nikolaj Ehlers,Goal Scorers Who Take Penalties
189,Aaron Ekblad,Every Situation Defensemen
190,Andrei Svechnikov,Goal Scorers Who Take Penalties
191,Artem Anisimov,Every Situation Forwards
192,Patric Hornqvist,Power-Play Specialists
193,Shea Theodore,Strong Defensive Defensemen
194,Jordan Eberle,Power-Play Specialists
195,Taylor Hall,Volume Shooters
196,Patrick Marleau,Goal-Focused Lower-Line Players
197,Shayne Gostisbehere,Elite Offensive Defensemen
198,Oliver Bjorkstrand,Goal Scorers Who Take Penalties
199,Lars Eller,"Two-Way, FO-Taking Forwards"
200,Jaden Schwartz,Lower-Line Skill Players
201,Thomas Vanek,Power-Play Specialists
202,Blake Coleman,Big Hitters And PK (No FO)
203,Nick Bonino,"Two-Way, FO-Taking Forwards"
204,Vince Dunn,Elite Offensive Defensemen
205,Nick Foligno,Every Situation Forwards
206,Bryan Rust,Big Hitters And PK (No FO)
207,Justin Faulk,Elite Offensive Defensemen
208,Jared McCann,Every Situation Forwards
209,Derek Stepan,"Two-Way, FO-Taking Forwards"
210,Ryan Strome,Every Situation Forwards
211,Travis Sanheim,Even Strength two-way defensemen
212,Jimmy Vesey,Goal-Focused Lower-Line Players
213,Frans Nielsen,Every Situation Forwards
214,Brandon Montour,Every Situation Defensemen
215,Mikkel Boedker,Lower-Line Skill Players
216,T.J. Brodie,Even Strength two-way defensemen
217,Michael Frolik,Goal Scorers Who Take Penalties
218,Danton Heinen,Lower-Line Skill Players
219,Ondrej Palat,Lower-Line Skill Players
220,Alexander Edler,Every Situation Defensemen
221,Jesperi Kotkaniemi,Well-Rounded Elite Playmakers (Take FO)
222,Charlie Coyle,Every Situation Forwards
223,Vincent Trocheck,"Two-Way, FO-Taking Forwards"
224,Tyler Toffoli,Goal-Focused Lower-Line Players
225,Conor Sheary,Goal-Focused Lower-Line Players
226,Ilya Kovalchuk,Power-Play Specialists
227,Casey Cizikas,Big Hitters And PK (Take FO)
228,Noah Hanifin,Even Strength two-way defensemen
229,Shea Weber,Elite Offensive Defensemen
230,Anthony Duclair,Goal-Focused Lower-Line Players
231,Robert Thomas,Lower-Line Skill Players
232,Richard Panik,Goal-Focused Lower-Line Players
233,Jesper Bratt,Lower-Line Skill Players
234,Oskar Lindblom,Goal-Focused Lower-Line Players
235,Miro Heiskanen,Elite Offensive Defensemen
236,Alex Iafallo,Goal-Focused Lower-Line Players
237,Jeff Carter,Every Situation Forwards
238,Esa Lindell,Every Situation Defensemen
239,Mikhail Sergachev,Even Strength two-way defensemen
240,Mark Jankowski,"Two-Way, FO-Taking Forwards"
241,J.T. Compher,Every Situation Forwards
242,Scott Laughton,Big Hitters And PK (Take FO)
243,Valtteri Filppula,Big Hitters And PK (Take FO)
244,Paul Byron,Goal-Focused Lower-Line Players
245,Tyler Myers,Every Situation Defensemen
246,Artturi Lehkonen,Big Hitters And PK (No FO)
247,Josh Morrissey,Every Situation Defensemen
248,Nick Ritchie,Lower-Line Skill Players
249,Antoine Roussel,Big Hitters And PK (No FO)
250,P.K. Subban,Elite Offensive Defensemen
251,Dustin Byfuglien,Elite Offensive Defensemen
252,Jaccob Slavin,Elite Offensive Defensemen
253,Oskar Sundqvist,Big Hitters And PK (No FO)
254,Jason Pominville,Goal-Focused Lower-Line Players
255,Vladislav Namestnikov,Big Hitters And PK (No FO)
256,Nolan Patrick,Every Situation Forwards
257,Nate Schmidt,Every Situation Defensemen
258,Colton Sissons,Big Hitters And PK (Take FO)
259,Jake Gardiner,Even Strength two-way defensemen
260,Marcus Sorensen,Goal-Focused Lower-Line Players
261,Anthony DeAngelo,Every Situation Defensemen
262,Mathieu Perreault,Goal-Focused Lower-Line Players
263,Radek Faksa,Big Hitters And PK (Take FO)
264,Marcus Johansson,Lower-Line Skill Players
265,Wayne Simmonds,Goal-Focused Lower-Line Players
266,Will Butcher,Elite Offensive Defensemen
267,Brett Pesce,Strong Defensive Defensemen
268,Ryan Murray,PK Specialist And Shot-Blocking Defensemen
269,Connor Brown,Big Hitters And PK (No FO)
270,Brandon Tanev,Big Hitters And PK (No FO)
271,Dmitry Orlov,Even Strength two-way defensemen
272,Colin Miller,Elite Offensive Defensemen
273,Mikko Koivu,"Two-Way, FO-Taking Forwards"
274,Evan Rodrigues,"Two-Way, FO-Taking Forwards"
