Rk,Player,Tm,Pos,Shift,GP▼,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60
1,Marcus Pettersson\pettema01,TOT,D,0:36,84,,15:00,1.9,2.3,1.6,,0:51,-3.6,0.0,0.0,,0:49,-4.0,0.0,9.4
2,Kevin Fiala\fialake01,TOT,LW,0:51,83,,13:24,1.5,1.1,3.5,,2:13,7.1,5.1,1.0,,0:00,,,
3,Ryan Hartman\hartmry01,TOT,RW,0:43,83,,12:26,-0.2,2.8,2.3,,0:15,-16.7,2.8,2.8,,0:25,0.9,1.7,8.7
4,Aaron Ekblad\ekblaaa01,FLA,D,0:45,82,,19:39,0.4,3.5,3.4,,1:41,-2.2,7.4,1.7,,2:18,7.9,0.6,7.6
5,Adam Henrique\henriad01,ANA,C,0:33,82,,13:02,-1.5,2.5,2.6,,2:18,4.3,7.2,0.9,,1:05,0.6,0.7,6.7
6,Adam Larsson\larssad01,EDM,D,0:41,82,,19:32,1.8,1.9,3.0,,0:04,4.2,9.1,0.0,,2:00,0.4,1.1,9.5
7,Aleksander Barkov\barkoal01,FLA,C,0:33,82,,16:46,0.2,3.8,3.6,,3:30,4.2,11.5,2.1,,2:04,-2.7,0.4,8.1
8,Alex DeBrincat\debrial01,CHI,RW,0:42,82,,14:19,1.2,3.9,3.5,,3:15,2.3,8.5,1.6,,0:06,12.4,0.0,0.0
9,Alex Iafallo\iafalal01,LAK,C,0:34,82,,14:48,-1.3,2.3,2.9,,1:37,1.9,4.1,2.7,,0:23,-5.6,0.0,5.6
10,Alex Killorn\killoal01,TBL,C/LW,0:37,82,,11:33,4.0,3.2,2.0,,1:22,-3.0,6.9,1.1,,1:57,3.9,1.9,5.7
11,Anders Lee\leean01,NYI,C,0:45,82,,14:12,2.1,3.2,2.2,,2:51,5.8,6.0,0.0,,0:01,40.4,0.0,0.0
12,Andrei Svechnikov\svechan01,CAR,RW,0:43,82,,12:43,1.8,2.7,2.5,,1:54,-3.2,5.7,1.5,,0:00,83.0,0.0,0.0
13,Andy Greene\greenan01,NJD,D,0:44,82,,16:37,-2.7,2.6,3.3,,0:06,-2.8,6.6,0.0,,4:05,-3.2,1.4,5.5
14,Anthony Cirelli\cirelan01,TBL,C,0:29,82,,11:50,3.3,3.4,2.3,,0:17,3.5,10.0,0.0,,2:42,1.6,1.9,5.1
15,Artturi Lehkonen\lehkoar01,MTL,LW,0:37,82,,12:44,-0.8,3.2,2.6,,0:32,-1.0,2.7,1.3,,2:15,-1.4,0.3,5.8
16,Barclay Goodrow\goodrba01,SJS,RW,0:31,82,,9:31,0.5,2.5,2.3,,0:02,-52.2,0.0,0.0,,1:26,-3.1,1.0,7.9
17,Blake Wheeler\wheelbl01,WPG,RW,0:42,82,,16:00,-0.2,3.4,3.4,,3:35,1.7,9.2,1.0,,1:06,5.0,2.6,9.8
18,Bo Horvat\horvabo01,VAN,C,0:42,82,,16:56,2.5,2.7,2.8,,3:26,2.7,7.0,1.1,,0:27,-1.3,4.3,8.6
19,Brandon Montour\montobr01,TOT,D,0:38,82,,18:57,1.5,2.3,2.9,,1:48,-6.8,2.5,2.0,,1:40,-3.0,0.0,6.9
20,Brendan Gallagher\gallabr01,MTL,RW,0:45,82,,13:53,7.2,3.4,2.9,,2:27,6.8,4.7,0.3,,0:01,35.6,0.0,0.0
21,Brenden Dillon\dillobr01,SJS,D,0:51,82,,16:35,3.3,3.1,2.3,,0:03,14.8,0.0,0.0,,1:05,7.7,1.9,4.3
22,Brent Burns\burnsbr01,SJS,D/RW,1:01,82,,19:48,4.0,3.6,3.2,,3:16,-0.1,8.7,1.1,,2:00,1.7,1.7,5.5
23,Brock McGinn\mcginbr01,CAR,LW,0:38,82,,11:50,-5.1,2.7,2.2,,0:15,-1.7,2.8,0.0,,2:12,-9.4,0.7,5.6
24,Brock Nelson\nelsobr01,NYI,C,0:43,82,,14:46,-0.8,2.8,1.8,,2:24,-1.2,4.8,0.3,,0:48,2.5,0.9,8.2
25,Bryan Little\littlbr01,WPG,RW,0:47,82,,13:15,-1.6,2.6,3.3,,1:25,-1.9,8.4,1.1,,1:09,-3.8,1.3,8.8
26,Carl Soderberg\soderca01,COL,C,0:45,82,,13:15,-0.7,2.9,3.3,,1:42,1.0,5.8,0.8,,2:28,-1.8,0.9,6.5
27,Claude Giroux\giroucl01,PHI,C/RW,0:41,82,,16:11,6.6,4.0,3.4,,3:31,11.1,6.9,1.0,,1:44,11.2,0.8,5.1
28,Clayton Keller\kellecl01,ARI,C,0:40,82,,14:34,1.2,2.3,3.1,,3:31,7.3,5.6,1.0,,0:08,-12.4,0.0,6.8
29,Connor Brown\brownco02,TOR,RW,0:55,82,,11:35,-2.9,2.4,1.9,,0:14,-1.3,5.1,0.0,,1:57,-5.3,1.1,6.0
30,Damon Severson\severda01,NJD,D,0:40,82,,18:05,-0.8,2.5,3.6,,2:27,1.2,5.4,1.4,,1:29,4.4,1.8,5.8
31,Darnell Nurse\nurseda01,EDM,D,0:50,82,,20:03,-2.2,2.8,3.0,,1:50,-2.6,9.1,0.8,,1:55,-2.7,1.1,9.9
32,David Savard\savarda01,CBJ,D,0:40,82,,17:57,-0.8,3.1,2.3,,0:04,-36.6,0.0,0.0,,1:42,2.4,0.4,4.7
33,Dmitry Orlov\orlovdm01,WSH,D,0:40,82,,19:26,-1.2,2.8,2.7,,0:48,-6.3,1.8,0.9,,1:22,3.0,1.1,6.9
34,Dominik Kahun\kahundo01,CHI,C,0:38,82,,13:01,0.5,3.0,2.5,,1:03,-2.6,3.4,0.0,,0:03,13.5,0.0,11.1
35,Dougie Hamilton\hamildo01,CAR,D,0:34,82,,17:33,4.9,2.9,2.8,,1:51,-4.8,5.1,1.2,,0:15,12.9,0.0,2.9
36,Drew Doughty\doughdr01,LAK,D,0:45,82,,21:12,-1.3,2.0,2.9,,2:55,-0.9,7.0,2.5,,2:27,-4.2,0.6,9.8
37,Duncan Keith\keithdu01,CHI,D,0:42,82,,19:36,0.8,3.5,3.1,,1:22,-2.1,4.8,0.5,,2:01,-3.5,0.7,11.2
38,Esa Lindell\lindees01,DAL,D,0:44,82,,19:55,-5.9,2.4,2.0,,1:09,-1.7,6.5,0.0,,3:14,-1.6,0.7,6.6
39,Evgenii Dadonov\dadonev01,FLA,RW,0:30,82,,15:00,1.9,3.7,3.5,,3:21,-0.9,10.7,2.4,,0:00,-18.3,0.0,76.6
40,Ivan Provorov\provoiv01,PHI,D,0:51,82,,20:38,-2.0,2.9,3.4,,1:33,-10.0,3.3,2.4,,2:54,2.2,0.7,7.2
41,Jaccob Slavin\slavija01,CAR,D,0:37,82,,18:50,-0.2,2.6,2.7,,1:48,-2.5,5.2,0.8,,2:23,0.8,1.5,6.4
42,Jack Johnson\johnsja02,PIT,D,0:41,82,,16:40,-5.6,2.4,2.8,,0:19,-6.3,6.4,0.0,,2:16,-4.2,1.6,7.4
43,Jacob Trouba\troubja01,WPG,D,0:54,82,,18:21,0.7,3.2,3.1,,2:03,-1.4,9.3,0.4,,2:27,-2.2,1.5,7.1
44,Jake Guentzel\guentja01,PIT,C,0:45,82,,16:43,4.7,3.8,3.0,,2:07,-3.5,7.1,2.3,,0:30,2.1,3.0,7.6
45,Jakub Vrana\vranaja01,WSH,LW,0:35,82,,12:53,2.1,3.5,2.3,,1:08,-9.5,3.2,0.6,,0:00,,,
46,Jared Spurgeon\spurgja01,MIN,D,0:51,82,,19:22,1.0,2.7,2.7,,2:25,3.3,7.0,0.6,,2:20,0.1,0.3,7.9
47,Jeff Petry\petryje01,MTL,D,0:49,82,,18:29,2.3,3.3,3.5,,2:32,-3.7,4.6,0.6,,2:05,1.7,0.7,7.0
48,Jeff Skinner\skinnje01,BUF,C,0:33,82,,15:23,3.7,3.7,3.3,,3:05,2.0,7.2,1.7,,0:02,-11.6,0.0,24.8
49,John Tavares\tavarjo01,TOR,C,0:43,82,,16:17,2.5,4.5,3.3,,2:35,6.9,9.3,1.6,,0:11,-1.8,0.0,14.9
50,Johnny Gaudreau\gaudrjo01,CGY,LW,0:51,82,,16:40,1.7,3.9,2.9,,3:20,0.8,9.2,0.9,,0:02,24.1,0.0,25.9
51,Jonas Brodin\brodijo01,MIN,D,0:39,82,,18:09,0.1,1.8,2.4,,0:16,10.0,5.0,0.0,,2:06,-2.4,0.7,5.3
52,Jonathan Huberdeau\huberjo01,FLA,C,0:39,82,,15:16,3.7,3.4,3.7,,3:24,2.7,10.3,1.9,,0:10,8.3,0.0,4.3
53,Jonathan Marchessault\audymjo01,VEG,C,1:05,82,,15:26,-1.0,3.3,3.2,,2:41,1.6,6.6,0.3,,0:01,31.9,0.0,0.0
54,Jonathan Toews\toewsjo01,CHI,C,0:40,82,,16:00,2.5,3.7,3.6,,3:16,4.8,8.9,1.1,,1:44,1.6,1.7,12.2
55,Jordan Martinook\martijo01,CAR,LW,0:36,82,,12:46,0.2,2.7,2.7,,0:05,12.8,0.0,0.0,,1:37,1.7,0.9,7.3
